source_inventory_id,redacted_source_path,programme,functional_area,sensitivity,duplicate_group_id,proposed_drive_folder,canonical_resource_type,target_canonical_asset_id,target_file_type,owner_role,website_section,consolidation_action,notes
SRC-000136,REDACTED-SENSITIVE-SOURCE/SRC-000136.docx,Girls,Other,restricted-source,DUP-E0644E1F89,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000137,REDACTED-SENSITIVE-SOURCE/SRC-000137.docx,Girls,Other,restricted-source,DUP-4230D61884,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000138,REDACTED-SENSITIVE-SOURCE/SRC-000138.docx,Girls,Other,restricted-source,DUP-6460B97770,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000139,REDACTED-SENSITIVE-SOURCE/SRC-000139.docx,Girls,Other,restricted-source,DUP-08E6427D96,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000140,REDACTED-SENSITIVE-SOURCE/SRC-000140.docx,Girls,Other,restricted-source,DUP-606FA01BE0,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000141,REDACTED-SENSITIVE-SOURCE/SRC-000141.docx,Girls,Other,restricted-source,DUP-690C963B38,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000142,REDACTED-SENSITIVE-SOURCE/SRC-000142.docx,Girls,Other,restricted-source,DUP-6EEDBFC256,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000143,REDACTED-SENSITIVE-SOURCE/SRC-000143.docx,Girls,Other,restricted-source,DUP-720648DC14,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000144,REDACTED-SENSITIVE-SOURCE/SRC-000144.docx,Girls,Other,restricted-source,DUP-70DD91CEC0,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000145,REDACTED-SENSITIVE-SOURCE/SRC-000145.docx,Girls,Other,restricted-source,DUP-7306041E4A,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Private review packet,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000146,REDACTED-SENSITIVE-SOURCE/SRC-000146.docx,Unknown,Finance,restricted-source,DUP-C072ECDF22,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000147,REDACTED-SENSITIVE-SOURCE/SRC-000147.docx,Unknown,Finance,restricted-source,DUP-7E05020A1E,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000148,REDACTED-SENSITIVE-SOURCE/SRC-000148.docx,Unknown,Finance,restricted-source,DUP-5E8C080D33,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000149,REDACTED-SENSITIVE-SOURCE/SRC-000149.docx,Unknown,Finance,restricted-source,DUP-9A1DBE4C4F,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000150,REDACTED-SENSITIVE-SOURCE/SRC-000150.docx,Unknown,Finance,restricted-source,DUP-77EC205144,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000151,REDACTED-SENSITIVE-SOURCE/SRC-000151.docx,Unknown,Finance,restricted-source,DUP-C99712ED4B,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000152,REDACTED-SENSITIVE-SOURCE/SRC-000152.docx,Unknown,Finance,restricted-source,DUP-CD1707A291,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000153,REDACTED-SENSITIVE-SOURCE/SRC-000153.docx,Unknown,Finance,restricted-source,DUP-FA54978431,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000154,REDACTED-SENSITIVE-SOURCE/SRC-000154.docx,Unknown,Finance,restricted-source,DUP-DFBEB8491C,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000155,REDACTED-SENSITIVE-SOURCE/SRC-000155.docx,Unknown,Finance,restricted-source,DUP-DCA6EB4C32,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000156,REDACTED-SENSITIVE-SOURCE/SRC-000156.docx,Unknown,Finance,restricted-source,DUP-6C12093A32,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000157,REDACTED-SENSITIVE-SOURCE/SRC-000157.docx,Unknown,Finance,restricted-source,DUP-9D2F38D8E1,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000158,REDACTED-SENSITIVE-SOURCE/SRC-000158.docx,Unknown,Finance,restricted-source,DUP-590433933F,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000159,REDACTED-SENSITIVE-SOURCE/SRC-000159.docx,Boys,Finance,restricted-source,DUP-568BAACCB1,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000160,REDACTED-SENSITIVE-SOURCE/SRC-000160.docx,Unknown,Finance,restricted-source,DUP-19EE40C185,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000161,REDACTED-SENSITIVE-SOURCE/SRC-000161.docx,Unknown,Finance,restricted-source,DUP-110546019C,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000162,Journey - Paul/Journey 2026/T shirts.xlsx,Unknown,Other,internal-source,,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Sheet,Oversight Lead,Library,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000163,REDACTED-SENSITIVE-SOURCE/SRC-000163.docx,Unknown,Finance,restricted-source,DUP-D7429DFE65,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000164,Journey - Paul/Journey 2026/THE JOURNEY Experience V7.mp4,Unknown,Media,internal-source,DUP-2B04C215F6,18 Website Source Exports,Approved Media Library,CAN-APPROVED-MEDIA-LIBRARY,Approved media reference,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000165,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/.DS_Store,General,Other,internal-source,DUP-302C480DCB,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Drive file reference,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000166,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/.DS_Store,General,Other,internal-source,DUP-8E3F94DA6F,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Drive file reference,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000167,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/01. Toolbox Overview/THE JOURNEY Facilitators Training Video.pdf,General,Media,internal-source,DUP-95301353D1,18 Website Source Exports,Approved Media Library,CAN-APPROVED-MEDIA-LIBRARY,Google Doc or Markdown page,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000168,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/01. Toolbox Overview/THE JOURNEY Using the Database.pdf,General,Other,internal-source,DUP-B4FB1C3BF7,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Doc or Markdown page,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000169,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/02. Schedule and Program/.DS_Store,General,Other,internal-source,DUP-14026453E9,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Drive file reference,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000170,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/02. Schedule and Program/Dads Talk Oct2021.pdf,General,Other,internal-source,DUP-A89CFA2263,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Doc or Markdown page,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000171,REDACTED-SENSITIVE-SOURCE/SRC-000171.xlsx,General,Administration,restricted-source,DUP-6D6A1AA3A0,10 Administration,Administration Template Set,CAN-ADMINISTRATION-TEMPLATE-SET,Google Sheet private template,Administration Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000172,REDACTED-SENSITIVE-SOURCE/SRC-000172.xlsx,General,Finance,restricted-source,DUP-51810BEF87,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Google Sheet private template,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000173,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/02. Schedule and Program/Example Checklist.xlsx,General,Other,internal-source,DUP-978468A9B3,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Sheet,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000174,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/02. Schedule and Program/Example Programme.xlsx,General,Other,internal-source,DUP-C0ED53F81E,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Sheet,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000175,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/02. Schedule and Program/How to prepare the Schedule and Program.pdf,General,Other,internal-source,DUP-6D7517DC7B,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Doc or Markdown page,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000176,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/03. Information Sessions/.DS_Store,General,Weekly sessions,internal-source,DUP-F2E01C7901,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Drive file reference,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000177,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/00. Facilitator Information/03. Information Sessions/1. Information Session/Information Session Video.pdf,General,Weekly sessions,internal-source,DUP-3D9CE58825,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000178,REDACTED-SENSITIVE-SOURCE/SRC-000178.pptx,General,Weekly sessions,restricted-source,DUP-7E061D6B9F,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Private review packet,Session Coordinator,Sessions,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000179,REDACTED-SENSITIVE-SOURCE/SRC-000179.file,General,Weekly sessions,restricted-source,DUP-14026453E9,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Private review packet,Session Coordinator,Sessions,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000180,REDACTED-SENSITIVE-SOURCE/SRC-000180.docx,General,Weekly sessions,restricted-source,DUP-ACDDB2B785,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Private review packet,Session Coordinator,Sessions,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000181,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/.DS_Store,General,Kickoff camp,internal-source,DUP-CF1ADF3941,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Drive file reference,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000182,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/01. Activities/Bivy Tent Setup.pdf,General,Kickoff camp,internal-source,DUP-A54D2BB94C,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000183,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/01. Activities/Father & Son Questions.pdf,Boys,Kickoff camp,internal-source,DUP-8F47C4ED5B,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000184,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/01. Activities/Father & Son Questions.pptx,Boys,Kickoff camp,internal-source,DUP-AE55B6FF06,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Slides or training page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000185,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/01. Activities/Kleilat.pdf,General,Kickoff camp,internal-source,DUP-3FE25F7956,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000186,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/01. Activities/Malachi 4.pdf,General,Kickoff camp,internal-source,DUP-B803775E62,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000187,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/01. Activities/Malachi Sandbox Demo.pdf,General,Kickoff camp,internal-source,DUP-64495F7011,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000188,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/01. Activities/Tug of War.pdf,General,Kickoff camp,internal-source,DUP-19390F45F8,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000189,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/02. Program and Checklist/.DS_Store,General,Kickoff camp,internal-source,DUP-62E045179B,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Drive file reference,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000190,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/02. Program and Checklist/Example Camping List - Kick-off camp.xls,General,Kickoff camp,internal-source,DUP-6241CEEED2,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Sheet,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000191,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/02. Program and Checklist/Example Kick-off Camp program.docx,General,Kickoff camp,internal-source,DUP-52B32C43F9,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000192,REDACTED-SENSITIVE-SOURCE/SRC-000192.pptx,General,Kickoff camp,restricted-source,DUP-B542F414AC,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Private review packet,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000193,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/03. Dad_s Toolbox (WhatsApp Group)/1. WhatsApp Message 1_Disclaimer.pptx,General,Kickoff camp,internal-source,DUP-866DB4E761,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Slides or training page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000194,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/03. Dad_s Toolbox (WhatsApp Group)/2. WhatsApp Message 2_Malachi.pptx,General,Kickoff camp,internal-source,DUP-958B848AC4,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Slides or training page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000195,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/01. Kick-off Camp/03. Dad_s Toolbox (WhatsApp Group)/3. Malachi 4.pdf,General,Kickoff camp,internal-source,DUP-B803775E62,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000196,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/00. Session Overview/The Journey Session Overview Manhood.pdf,Boys,Weekly sessions,internal-source,DUP-B72D7CF3D7,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000197,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/01. Activity Father & Son/Carry the Crown.pdf,Boys,Weekly sessions,internal-source,DUP-0C5AE0D293,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000198,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/02. Theme Video/Man in the House.pdf,Boys,Weekly sessions,internal-source,DUP-40DF84ED44,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000199,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/03. Discussion & Scripture/Worldly Man vs Godly Man.pdf,Boys,Weekly sessions,internal-source,DUP-CE760A121E,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000200,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/04. Demonstration & Media/Being the Influencer.pdf,Boys,Weekly sessions,internal-source,DUP-55F4821384,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000201,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/07. Boys Teaching & Homework/Challenge for the week 1.pptx,Boys,Weekly sessions,internal-source,DUP-128CE6FEFF,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Slides or training page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000202,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/8. Dad_s Toolbox (WhatsApp Group)/1. WhatsApp Message 3_Fathers Matter.pptx,Boys,Weekly sessions,internal-source,DUP-B3577E8288,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Slides or training page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000203,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/8. Dad_s Toolbox (WhatsApp Group)/2. Fathers Matter.pdf,Boys,Weekly sessions,internal-source,DUP-FAA6010DD9,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000204,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/8. Dad_s Toolbox (WhatsApp Group)/3. WhatsApp Message 4_Man in The House.pptx,Boys,Weekly sessions,internal-source,DUP-1D52016B81,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Slides or training page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000205,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/02. Session 1_MANHOOD/8. Dad_s Toolbox (WhatsApp Group)/4. Man in the House.pdf,Boys,Weekly sessions,internal-source,DUP-40DF84ED44,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000206,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/03. Session 2_MAN of ACTION 1/.DS_Store,Boys,Weekly sessions,internal-source,DUP-549F73C648,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Drive file reference,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000207,Journey - Paul/Journey 2026/The Journey Toolbox V1.0/03. Session 2_MAN of ACTION 1/00. Session Overview/THE JOURNEY Session Overview Man of Action 1.pdf,Boys,Weekly sessions,internal-source,DUP-4FC0DFA660,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
