inventory_id,extension,functional_area,priority,sensitivity,action
SRC-000352,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000353,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000354,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000355,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000356,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000357,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000358,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000359,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000360,.pptx,Compass Evening,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000361,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000362,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000363,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000364,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000365,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000366,.mp4,Rite of passage,high,internal-source,Catalogue and review for future use.
SRC-000367,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000368,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000369,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000370,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000371,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000372,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000373,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000374,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000375,.pdf,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000376,.xlsx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000377,.jpeg,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000378,.jpeg,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000379,.docx,Onboarding,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000380,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000381,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000382,.xlsx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000383,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000384,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000385,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000386,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000387,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000388,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000389,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000390,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000391,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000392,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000393,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000394,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000395,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000396,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000397,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000398,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000399,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000400,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000401,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000402,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000403,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000404,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000405,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000406,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000407,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000408,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000409,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000410,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000411,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000412,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000413,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000414,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000418,.pdf,Media,medium,internal-source,Convert to sanitized reference note.
SRC-000419,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000421,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000422,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000423,.xlsx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000424,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000425,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000426,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000427,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000428,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000429,.pptx,Weekly sessions,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000430,,Weekly sessions,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000431,.docx,Weekly sessions,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000432,,Kickoff camp,high,internal-source,Catalogue and review for future use.
SRC-000433,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000434,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000435,.pptx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000436,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000437,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000438,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000439,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000440,,Kickoff camp,high,internal-source,Catalogue and review for future use.
SRC-000441,.xls,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000442,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000443,.pptx,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000444,.pptx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000445,.pptx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000446,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000447,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000448,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000449,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000450,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000451,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000452,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000453,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000454,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000455,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000456,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000457,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000458,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000459,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000460,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000461,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000462,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000463,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000464,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000465,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000466,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000467,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000468,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000469,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000470,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000471,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000472,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000473,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000474,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000475,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000476,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000477,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000478,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000479,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000480,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000481,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000482,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000483,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000484,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000485,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000486,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000487,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000488,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000489,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000490,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000491,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000492,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000493,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000494,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000495,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000496,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000497,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000498,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000499,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000500,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000501,,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000502,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000503,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000504,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000505,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000506,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000507,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000509,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000510,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000511,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000512,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000513,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000514,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000515,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000516,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000517,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000518,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000519,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000520,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000521,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000522,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000523,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000524,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000525,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000526,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000527,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000528,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000529,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000530,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000531,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000532,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000533,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000534,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000535,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000536,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000537,,Rite of passage,high,internal-source,Catalogue and review for future use.
SRC-000538,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000539,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000540,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000541,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000542,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000543,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000544,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000545,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000546,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000547,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000548,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000549,.m4a,Rite of passage,high,internal-source,Catalogue and review for future use.
SRC-000552,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000553,.docx,Foundations,medium,internal-source,Convert to sanitized reference note.
SRC-000554,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000555,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
